epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1737.22,0.49019,0.31852,0.81652,0.97003,0.9054,0.93821,0.78696,0.46366,0.30797,0.83173,0.000261533,0.000261533,0.000261533
43,1777.66,0.49249,0.32011,0.81789,0.9727,0.90967,0.93985,0.78972,0.4629,0.30551,0.83042,0.000237805,0.000237805,0.000237805
44,1818,0.48702,0.31763,0.8158,0.96772,0.90972,0.93915,0.78729,0.46926,0.30547,0.8308,0.000214963,0.000214963,0.000214963
45,1858.71,0.48094,0.31451,0.81542,0.97035,0.90704,0.93788,0.78749,0.46419,0.30727,0.82984,0.00019307,0.00019307,0.00019307
46,1898.88,0.48482,0.31638,0.81539,0.96969,0.91086,0.93994,0.78805,0.46072,0.30344,0.82935,0.000172185,0.000172185,0.000172185
47,1938.9,0.48326,0.31441,0.81448,0.96588,0.91073,0.93936,0.78939,0.46907,0.30477,0.83101,0.000152366,0.000152366,0.000152366
48,1979.35,0.47399,0.3115,0.81415,0.97059,0.90946,0.94003,0.79248,0.46018,0.30233,0.82924,0.000133667,0.000133667,0.000133667
49,2019.74,0.4694,0.30826,0.81381,0.97223,0.90889,0.94077,0.79329,0.46147,0.30129,0.8299,0.00011614,0.00011614,0.00011614
50,2060.44,0.47069,0.30952,0.81401,0.96975,0.91313,0.94048,0.79091,0.45821,0.2997,0.82803,9.98323e-05,9.98323e-05,9.98323e-05
51,2102.44,0.45042,0.29981,0.80762,0.96869,0.90067,0.93464,0.78723,0.46472,0.30627,0.82863,8.47887e-05,8.47887e-05,8.47887e-05
52,2142.86,0.43739,0.29006,0.80461,0.97521,0.90238,0.93733,0.78919,0.45961,0.30435,0.82847,7.10504e-05,7.10504e-05,7.10504e-05
53,2182.71,0.42965,0.286,0.80389,0.97086,0.90852,0.93888,0.79147,0.45056,0.3004,0.82717,5.86552e-05,5.86552e-05,5.86552e-05
54,2222.52,0.42669,0.28465,0.80436,0.97169,0.91083,0.93994,0.79127,0.447,0.29975,0.82681,4.76371e-05,4.76371e-05,4.76371e-05
55,2262.45,0.42084,0.28102,0.80267,0.96947,0.91061,0.93934,0.79232,0.45133,0.29966,0.82726,3.80262e-05,3.80262e-05,3.80262e-05
56,2302.25,0.41775,0.27932,0.80338,0.97277,0.90976,0.9405,0.79283,0.4454,0.29815,0.82601,2.98489e-05,2.98489e-05,2.98489e-05
57,2341.85,0.41081,0.27633,0.80252,0.96908,0.9122,0.93986,0.79261,0.44528,0.29666,0.82678,2.31276e-05,2.31276e-05,2.31276e-05
58,2381.84,0.41444,0.27789,0.8017,0.9676,0.91222,0.94038,0.79383,0.4453,0.29602,0.82604,1.78807e-05,1.78807e-05,1.78807e-05
59,2421.87,0.41457,0.27792,0.80296,0.96884,0.9138,0.94049,0.79463,0.44346,0.29458,0.82644,1.41227e-05,1.41227e-05,1.41227e-05
60,2461.58,0.41358,0.27764,0.80239,0.96903,0.91363,0.94116,0.79479,0.44161,0.29535,0.82574,1.18637e-05,1.18637e-05,1.18637e-05
