epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,103.471,0.56876,0.92441,0.96621,0.94024,0.3865,0.41555,0.29907,1.79721,2.4359,1.59821,3.67141e-05,3.67141e-05,3.67141e-05
40,106.578,0.87199,1.38655,1.33043,0.94024,0.3865,0.41555,0.29907,1.79721,2.4359,1.59821,3.74505e-05,3.74505e-05,3.74505e-05
41,109.617,0.73802,0.81319,1.09172,0.94312,0.38677,0.41561,0.29918,1.7933,2.43381,1.59189,3.81752e-05,3.81752e-05,3.81752e-05
42,112.362,0.94211,1.10401,1.23629,0.94312,0.38677,0.41561,0.29918,1.7933,2.43381,1.59189,3.88881e-05,3.88881e-05,3.88881e-05
43,115.354,0.70535,1.0781,1.22833,0.94604,0.38409,0.41608,0.30132,1.80033,2.44933,1.58781,3.95892e-05,3.95892e-05,3.95892e-05
44,121.046,1.0239,1.89614,1.38267,0.94604,0.38409,0.41608,0.30132,1.80033,2.44933,1.58781,4.02785e-05,4.02785e-05,4.02785e-05
45,126.191,0.76105,1.09408,1.25117,0.94913,0.38457,0.41748,0.31824,1.77757,2.46183,1.55569,4.0956e-05,4.0956e-05,4.0956e-05
46,131.353,0.95272,1.05118,1.28257,0.94913,0.38457,0.41748,0.31824,1.77757,2.46183,1.55569,4.16217e-05,4.16217e-05,4.16217e-05
47,138.03,1.09633,1.68074,1.39454,0.95475,0.38692,0.41839,0.31885,1.77158,2.41915,1.53047,4.22757e-05,4.22757e-05,4.22757e-05
48,143.479,0.80703,0.75329,1.24307,0.95475,0.38692,0.41839,0.31885,1.77158,2.41915,1.53047,4.29179e-05,4.29179e-05,4.29179e-05
49,148.894,0.56807,0.86237,1.09319,0.96015,0.3858,0.41904,0.3206,1.79153,2.44058,1.52642,4.35483e-05,4.35483e-05,4.35483e-05
50,152.859,0.78315,0.93183,1.2096,0.96015,0.3858,0.41904,0.3206,1.79153,2.44058,1.52642,4.41669e-05,4.41669e-05,4.41669e-05
51,156.772,0.72263,0.84364,1.12527,0.96815,0.38771,0.41925,0.32056,1.7999,2.46187,1.52552,4.47737e-05,4.47737e-05,4.47737e-05
52,159.343,0.7344,1.14183,1.16453,0.96815,0.38771,0.41925,0.32056,1.7999,2.46187,1.52552,4.53688e-05,4.53688e-05,4.53688e-05
53,164.278,0.71863,0.96385,1.1188,0.96815,0.38771,0.41925,0.32056,1.7999,2.46187,1.52552,4.59521e-05,4.59521e-05,4.59521e-05
54,169,0.71865,0.82281,1.24199,0.80606,0.38881,0.42216,0.32009,1.8227,2.45229,1.52479,4.65236e-05,4.65236e-05,4.65236e-05
55,174.045,0.62295,0.94626,1.06746,0.80606,0.38881,0.42216,0.32009,1.8227,2.45229,1.52479,4.70833e-05,4.70833e-05,4.70833e-05
56,179.294,0.74844,0.77771,1.23326,0.80606,0.38881,0.42216,0.32009,1.8227,2.45229,1.52479,4.76312e-05,4.76312e-05,4.76312e-05
57,186.06,0.63017,0.66404,1.07403,0.94759,0.39705,0.42463,0.32724,1.84517,2.50796,1.53812,4.81674e-05,4.81674e-05,4.81674e-05
58,192.157,0.72257,0.7375,1.24567,0.94759,0.39705,0.42463,0.32724,1.84517,2.50796,1.53812,4.86918e-05,4.86918e-05,4.86918e-05
59,199.003,0.85909,0.82338,1.08662,0.94759,0.39705,0.42463,0.32724,1.84517,2.50796,1.53812,4.92044e-05,4.92044e-05,4.92044e-05
60,202.989,0.79131,1.47712,1.17277,0.90585,0.4,0.42379,0.32783,1.83473,2.53864,1.51369,4.97052e-05,4.97052e-05,4.97052e-05
61,205.141,0.64145,0.8185,0.97363,0.90585,0.4,0.42379,0.32783,1.83473,2.53864,1.51369,5.01942e-05,5.01942e-05,5.01942e-05
62,209.061,0.56458,0.65897,0.96664,0.90585,0.4,0.42379,0.32783,1.83473,2.53864,1.51369,5.06714e-05,5.06714e-05,5.06714e-05
63,211.286,0.67444,1.2219,1.18404,0.81554,0.40142,0.42416,0.32616,1.85359,2.53087,1.53629,5.11369e-05,5.11369e-05,5.11369e-05
64,215.152,0.66501,0.75286,1.15676,0.81554,0.40142,0.42416,0.32616,1.85359,2.53087,1.53629,5.15906e-05,5.15906e-05,5.15906e-05
65,220.629,0.69737,0.62989,1.116,0.81554,0.40142,0.42416,0.32616,1.85359,2.53087,1.53629,5.20325e-05,5.20325e-05,5.20325e-05
66,226.106,0.75779,1.093,1.1141,0.84452,0.4,0.42323,0.32537,1.82498,2.52408,1.48954,5.24626e-05,5.24626e-05,5.24626e-05
67,231.488,0.77778,1.03212,1.20078,0.84452,0.4,0.42323,0.32537,1.82498,2.52408,1.48954,5.2881e-05,5.2881e-05,5.2881e-05
68,237.33,0.79446,0.76832,1.12413,0.84452,0.4,0.42323,0.32537,1.82498,2.52408,1.48954,5.32875e-05,5.32875e-05,5.32875e-05
69,242.864,0.65676,0.70794,1.09298,0.8416,0.4,0.42498,0.30927,1.76537,2.46529,1.42109,5.36823e-05,5.36823e-05,5.36823e-05
70,248.611,0.55887,0.55787,0.99462,0.8416,0.4,0.42498,0.30927,1.76537,2.46529,1.42109,5.40653e-05,5.40653e-05,5.40653e-05
71,255.752,0.55259,0.56323,1.03013,0.8416,0.4,0.42498,0.30927,1.76537,2.46529,1.42109,5.44365e-05,5.44365e-05,5.44365e-05
72,261.244,0.45469,0.61722,1.01383,0.87613,0.23333,0.42525,0.30974,1.80461,2.48564,1.42952,5.4796e-05,5.4796e-05,5.4796e-05
73,266.591,0.65327,0.67244,1.08188,0.87613,0.23333,0.42525,0.30974,1.80461,2.48564,1.42952,5.51436e-05,5.51436e-05,5.51436e-05
74,271.954,0.53023,0.5875,1.05892,0.87613,0.23333,0.42525,0.30974,1.80461,2.48564,1.42952,5.54795e-05,5.54795e-05,5.54795e-05
75,277.151,0.7137,0.69026,1.07125,0.87495,0.23862,0.42681,0.31017,1.79504,2.47716,1.40844,5.58036e-05,5.58036e-05,5.58036e-05
76,282.238,0.5344,0.52225,0.99904,0.87495,0.23862,0.42681,0.31017,1.79504,2.47716,1.40844,5.61159e-05,5.61159e-05,5.61159e-05
77,288.311,0.70259,0.78782,1.08382,0.87495,0.23862,0.42681,0.31017,1.79504,2.47716,1.40844,5.64165e-05,5.64165e-05,5.64165e-05
78,294.557,0.78698,0.8166,1.21645,0.86721,0.23333,0.42573,0.32587,1.8098,2.55248,1.42334,5.67052e-05,5.67052e-05,5.67052e-05
79,300.234,0.64554,0.78954,1.10665,0.86721,0.23333,0.42573,0.32587,1.8098,2.55248,1.42334,5.69822e-05,5.69822e-05,5.69822e-05
80,307.789,0.60447,0.53488,1.00229,0.86721,0.23333,0.42573,0.32587,1.8098,2.55248,1.42334,5.72474e-05,5.72474e-05,5.72474e-05
81,314.29,0.6002,1.03661,1.08593,0.8695,0.23333,0.42635,0.31523,1.84879,2.64353,1.45703,5.75008e-05,5.75008e-05,5.75008e-05
82,320.024,0.58723,0.53061,1.17812,0.8695,0.23333,0.42635,0.31523,1.84879,2.64353,1.45703,5.77424e-05,5.77424e-05,5.77424e-05
83,325.266,0.67211,0.7169,1.25063,0.8695,0.23333,0.42635,0.31523,1.84879,2.64353,1.45703,5.79723e-05,5.79723e-05,5.79723e-05
84,330.601,0.61359,0.6293,1.00387,0.86963,0.23333,0.43385,0.31323,1.91294,2.6286,1.48012,5.81903e-05,5.81903e-05,5.81903e-05
85,336.923,0.61969,0.69582,1.1072,0.86963,0.23333,0.43385,0.31323,1.91294,2.6286,1.48012,5.83966e-05,5.83966e-05,5.83966e-05
86,342.04,0.57603,0.84654,1.04532,0.86963,0.23333,0.43385,0.31323,1.91294,2.6286,1.48012,5.85911e-05,5.85911e-05,5.85911e-05
87,350.91,1.09882,1.32271,1.50927,0.86963,0.23333,0.43385,0.31323,1.91294,2.6286,1.48012,5.87739e-05,5.87739e-05,5.87739e-05
88,356.636,0.56729,0.79939,1.03315,0.85907,0.23333,0.43445,0.31394,1.9497,2.67563,1.51329,5.89448e-05,5.89448e-05,5.89448e-05
89,362.206,0.40551,0.71059,1.07737,0.85907,0.23333,0.43445,0.31394,1.9497,2.67563,1.51329,5.9104e-05,5.9104e-05,5.9104e-05
90,370.545,0.77815,0.78023,1.19163,0.85907,0.23333,0.43445,0.31394,1.9497,2.67563,1.51329,5.92513e-05,5.92513e-05,5.92513e-05
91,375.932,0.70868,0.76107,1.1194,0.85907,0.23333,0.43445,0.31394,1.9497,2.67563,1.51329,5.9387e-05,5.9387e-05,5.9387e-05
92,381.547,0.7814,0.75987,1.26999,0.87619,0.23804,0.43412,0.31192,1.93789,2.71485,1.50662,5.95108e-05,5.95108e-05,5.95108e-05
93,390.897,0.81004,0.73483,1.22949,0.87619,0.23804,0.43412,0.31192,1.93789,2.71485,1.50662,5.96228e-05,5.96228e-05,5.96228e-05
94,396.261,0.53907,0.52642,1.07479,0.87619,0.23804,0.43412,0.31192,1.93789,2.71485,1.50662,5.97231e-05,5.97231e-05,5.97231e-05
95,405.169,0.7433,0.98829,1.08768,0.87619,0.23804,0.43412,0.31192,1.93789,2.71485,1.50662,5.98115e-05,5.98115e-05,5.98115e-05
96,410.655,0.59779,0.50747,1.02299,0.93622,0.21667,0.43259,0.31175,1.92342,2.76034,1.49162,5.98882e-05,5.98882e-05,5.98882e-05
97,416.158,0.49529,0.70062,1.13609,0.93622,0.21667,0.43259,0.31175,1.92342,2.76034,1.49162,5.99532e-05,5.99532e-05,5.99532e-05
98,421.68,0.74745,0.69599,1.06632,0.93622,0.21667,0.43259,0.31175,1.92342,2.76034,1.49162,6.00063e-05,6.00063e-05,6.00063e-05
99,428.185,0.59893,0.68072,1.06031,0.93622,0.21667,0.43259,0.31175,1.92342,2.76034,1.49162,6.00476e-05,6.00476e-05,6.00476e-05
100,434.311,0.62149,0.60005,1.06744,0.87814,0.22972,0.43371,0.31112,1.95528,2.84402,1.5199,6.00772e-05,6.00772e-05,6.00772e-05
101,440.771,0.55399,0.59185,1.03665,0.87814,0.22972,0.43371,0.31112,1.95528,2.84402,1.5199,6.0095e-05,6.0095e-05,6.0095e-05
