epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,265.042,1.38777,1.12288,1.14983,0.90713,0.6011,0.65695,0.4694,1.13199,0.9425,1.05147,0.000606958,0.000606958,0.000606958
43,271.528,1.35388,1.06809,1.11534,0.94376,0.58128,0.6572,0.4682,1.1262,0.94059,1.04467,0.000582703,0.000582703,0.000582703
44,276.761,1.39354,1.09134,1.1252,0.93102,0.59997,0.66099,0.4682,1.09196,0.925,1.02998,0.000558524,0.000558524,0.000558524
45,284.028,1.38493,1.07702,1.13824,0.94691,0.59678,0.67008,0.47334,1.18136,0.93139,1.0513,0.000534456,0.000534456,0.000534456
46,289.607,1.33028,1.06323,1.12039,0.94448,0.60096,0.66996,0.49524,1.08885,0.90353,1.02321,0.000510538,0.000510538,0.000510538
47,295.572,1.32638,1.04954,1.11626,0.93259,0.62376,0.6774,0.49546,1.04996,0.89306,1.0251,0.000486806,0.000486806,0.000486806
48,301.714,1.33977,1.05185,1.11991,0.93372,0.62176,0.6718,0.46583,1.11504,0.89822,1.03921,0.000463296,0.000463296,0.000463296
49,307.386,1.31994,1.0466,1.11772,0.93506,0.6183,0.67769,0.49757,1.03968,0.86187,1.023,0.000440046,0.000440046,0.000440046
50,314.185,1.30329,1.03251,1.11731,0.90169,0.62963,0.67799,0.50225,1.03378,0.86069,1.00947,0.00041709,0.00041709,0.00041709
51,319.627,1.27883,1.01224,1.0997,0.90894,0.61475,0.6754,0.49904,1.01175,0.8547,1.00907,0.000394465,0.000394465,0.000394465
52,326.555,1.24678,0.97601,1.08526,0.93879,0.61145,0.67678,0.50738,1.01551,0.85808,1.01227,0.000372204,0.000372204,0.000372204
53,332.16,1.29404,0.99804,1.10711,0.94839,0.61202,0.67914,0.51229,1.00477,0.85275,1.00622,0.000350343,0.000350343,0.000350343
54,337.518,1.27047,0.98985,1.08864,0.9447,0.61561,0.68637,0.51636,0.99368,0.82956,1.00021,0.000328916,0.000328916,0.000328916
55,344.01,1.24167,0.97251,1.0949,0.95175,0.61045,0.68957,0.51796,1.00693,0.82553,1.00256,0.000307954,0.000307954,0.000307954
56,349.284,1.23433,0.94972,1.08441,0.95571,0.61791,0.69016,0.5276,0.97028,0.81086,0.99512,0.000287491,0.000287491,0.000287491
57,355.996,1.23,0.9447,1.06558,0.9525,0.61861,0.6876,0.51145,0.97774,0.80119,0.9924,0.000267558,0.000267558,0.000267558
58,361.657,1.25635,0.983,1.0845,0.93717,0.63253,0.68851,0.51494,0.9868,0.79901,0.99714,0.000248186,0.000248186,0.000248186
59,367.194,1.20655,0.94334,1.07861,0.96652,0.61639,0.69222,0.52431,0.96422,0.78946,0.99191,0.000229404,0.000229404,0.000229404
60,373.753,1.23372,0.9541,1.08665,0.97108,0.60912,0.69188,0.51437,0.97009,0.79478,0.99162,0.000211242,0.000211242,0.000211242
61,378.903,1.25057,0.97959,1.07953,0.97585,0.6174,0.69434,0.53181,0.95542,0.78416,0.98974,0.000193728,0.000193728,0.000193728
62,385.945,1.22531,0.93443,1.07284,0.96704,0.61837,0.69294,0.52716,0.95883,0.77488,0.9882,0.000176888,0.000176888,0.000176888
63,391.414,1.22396,0.94351,1.0743,0.93578,0.63325,0.69094,0.52715,0.95166,0.78255,0.98603,0.000160749,0.000160749,0.000160749
64,397.979,1.2053,0.91946,1.0745,0.96535,0.62863,0.6962,0.51967,1.00042,0.78898,0.99512,0.000145335,0.000145335,0.000145335
65,404.055,1.26618,0.95996,1.07059,0.94074,0.64634,0.6959,0.52389,0.96921,0.78098,0.98584,0.000130671,0.000130671,0.000130671
66,409.749,1.17242,0.9246,1.06957,0.94583,0.63958,0.69156,0.53082,0.95498,0.7893,0.9836,0.000116778,0.000116778,0.000116778
67,416.489,1.23141,0.94733,1.0941,0.94885,0.64648,0.69304,0.53325,0.93761,0.77757,0.98187,0.000103679,0.000103679,0.000103679
68,421.886,1.15831,0.89554,1.05191,0.94245,0.65176,0.697,0.53597,0.93912,0.76908,0.98099,9.13931e-05,9.13931e-05,9.13931e-05
69,428.973,1.18723,0.91642,1.06257,0.945,0.651,0.69796,0.53681,0.93487,0.76631,0.9797,7.99397e-05,7.99397e-05,7.99397e-05
70,435.048,1.18342,0.89441,1.0495,0.95431,0.64422,0.69874,0.54182,0.92261,0.75898,0.97612,6.93364e-05,6.93364e-05,6.93364e-05
71,444.333,1.17206,1.07509,1.05332,0.95845,0.6272,0.69648,0.53966,0.93314,0.77659,0.97504,5.95995e-05,5.95995e-05,5.95995e-05
72,449.852,1.14508,1.01713,1.05908,0.94623,0.63549,0.69483,0.53211,0.94011,0.79796,0.97614,5.07441e-05,5.07441e-05,5.07441e-05
73,455.55,1.1874,1.04497,1.06357,0.94126,0.63352,0.69171,0.52727,0.94698,0.81034,0.97728,4.27838e-05,4.27838e-05,4.27838e-05
74,462.477,1.14036,0.99573,1.06054,0.91232,0.65125,0.6873,0.5229,0.95459,0.82147,0.97833,3.57308e-05,3.57308e-05,3.57308e-05
75,467.578,1.15924,0.99747,1.06842,0.91963,0.64478,0.68732,0.52208,0.95602,0.82056,0.97863,2.95961e-05,2.95961e-05,2.95961e-05
76,474.792,1.13905,0.9786,1.05179,0.9272,0.64626,0.68835,0.52335,0.95237,0.81654,0.9777,2.43891e-05,2.43891e-05,2.43891e-05
77,480.34,1.17281,1.00098,1.06731,0.92922,0.63589,0.6875,0.52583,0.95031,0.81528,0.97738,2.01178e-05,2.01178e-05,2.01178e-05
78,486.285,1.1417,0.97266,1.05466,0.9317,0.64416,0.68971,0.52778,0.9437,0.80479,0.97544,1.67889e-05,1.67889e-05,1.67889e-05
79,492.533,1.12352,0.95908,1.05342,0.9388,0.64338,0.69027,0.52878,0.94059,0.80466,0.97464,1.44074e-05,1.44074e-05,1.44074e-05
80,497.598,1.14425,0.95921,1.04599,0.93796,0.645,0.69222,0.53018,0.9374,0.8009,0.97347,1.2977e-05,1.2977e-05,1.2977e-05
